,Name,Image,Ratings,RAM,Display,Processor,Battery,Warranty,Camera
0,"POCO C31 (Royal Blue, 64 GB)",https://rukminim2.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70,"46,696 Ratings & 2,637 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Lithium-ion Polymer Battery,"1 Year Warranty for Handset, 6 Months for Accessories",13MP + 2MP + 2MP | 5MP Front Camera
1,"POCO C31 (Shadow Gray, 64 GB)",https://rukminim2.flixcart.com/image/312/312/ku4ezrk0/mobile/b/o/m/c31-mzb0a0min-poco-original-imag7bzqxekkpkrv.jpeg?q=70,"46,696 Ratings & 2,637 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Lithium-ion Polymer Battery,"1 Year Warranty for Handset, 6 Months for Accessories",13MP + 2MP + 2MP | 5MP Front Camera
2,"realme C11 2021 (Cool Grey, 32 GB)",https://rukminim2.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70,"1,87,581 Ratings & 8,514 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,8MP Rear Camera | 5MP Front Camera
3,"realme C11 2021 (Cool Blue, 64 GB)",https://rukminim2.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70,"1,63,258 Ratings & 9,286 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,8MP Rear Camera | 5MP Front Camera
4,"realme C11 2021 (Cool Grey, 64 GB)",https://rukminim2.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70,"1,63,258 Ratings & 9,286 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,8MP Rear Camera | 5MP Front Camera
5,"realme C11 2021 (Cool Blue, 32 GB)",https://rukminim2.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70,"1,87,581 Ratings & 8,514 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,8MP Rear Camera | 5MP Front Camera
6,"OPPO K10 (Black Carbon, 128 GB)",https://rukminim2.flixcart.com/image/312/312/l12h1u80/mobile/w/s/e/-original-imagcpehdhqyzqpz.jpeg?q=70,"12,073 Ratings & 1,093 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.74 cm (6.59 inch) Full HD+ Display,Qualcomm Snapdragon 680 Processor,5000 mAh Lithium Ion Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,50MP + 2MP + 2MP | 16MP Front Camera
7,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",https://rukminim2.flixcart.com/image/312/312/kqqykcw0/mobile/j/5/7/galaxy-f22-sm-e225flbdins-samsung-original-imag4z99fp4qdfby.jpeg?q=70,"54,535 Ratings & 5,362 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,MediaTek Helio G80 Processor,6000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,48MP + 8MP + 2MP + 2MP | 13MP Front Camera
8,"OPPO K10 (Black Carbon, 128 GB)",https://rukminim2.flixcart.com/image/312/312/l12h1u80/mobile/w/s/e/-original-imagcpehdhqyzqpz.jpeg?q=70,959 Ratings & 98 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.74 cm (6.59 inch) Full HD+ Display,Qualcomm Snapdragon 680 Processor,5000 mAh Lithium Ion Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,50MP + 2MP + 2MP | 16MP Front Camera
9,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",https://rukminim2.flixcart.com/image/312/312/kqqykcw0/mobile/p/y/u/galaxy-f22-sm-e225fzkhins-samsung-original-imag4z99fagskjxd.jpeg?q=70,"54,535 Ratings & 5,362 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,MediaTek Helio G80 Processor,6000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,48MP + 8MP + 2MP + 2MP | 13MP Front Camera
